dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DistalPhalanxOutlineCorrect,0.789855,0.822464,0.847826,0.822464,0.822464,0.858696,0.847826,0.811594,0.82971,0.844203,0.836957,0.858696,0.847826,0.862319,0.844203,0.844203,0.84058,0.807971,0.818841,0.811594,0.818841,0.844203,0.789855,0.862319,0.858696,0.833333,0.811594,0.833333,0.822464,0.818841
DistalPhalanxTW,0.676259,0.719424,0.726619,0.71223,0.71223,0.705036,0.669065,0.705036,0.71223,0.697842,0.676259,0.705036,0.690647,0.690647,0.697842,0.726619,0.726619,0.676259,0.705036,0.719424,0.71223,0.690647,0.669065,0.697842,0.690647,0.690647,0.71223,0.719424,0.683453,0.690647
DodgerLoopDayNmv,0.688312,0.597403,0.584416,0.584416,0.597403,0.623377,0.636364,0.558442,0.597403,0.597403,0.597403,0.545455,0.584416,0.636364,0.584416,0.662338,0.558442,0.61039,0.597403,0.623377,0.584416,0.662338,0.558442,0.623377,0.649351,0.61039,0.545455,0.545455,0.571429,0.597403
DodgerLoopGameNmv,0.874016,0.771654,0.80315,0.88189,0.811024,0.913386,0.811024,0.818898,0.811024,0.88189,0.834646,0.84252,0.811024,0.755906,0.818898,0.905512,0.84252,0.826772,0.84252,0.850394,0.779528,0.826772,0.905512,0.80315,0.811024,0.905512,0.850394,0.850394,0.834646,0.897638
DodgerLoopWeekendNmv,0.984127,0.984127,0.984127,0.984127,0.984127,0.992063,0.984127,0.984127,0.984127,0.984127,0.984127,0.992063,0.984127,0.984127,0.984127,0.992063,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127,0.984127
ECG200,0.89,0.82,0.87,0.86,0.91,0.9,0.89,0.92,0.92,0.88,0.85,0.87,0.87,0.88,0.86,0.85,0.86,0.89,0.89,0.79,0.85,0.83,0.81,0.9,0.86,0.89,0.86,0.9,0.83,0.87
ECG5000,0.942889,0.946222,0.946222,0.948444,0.944889,0.948222,0.948,0.938667,0.945556,0.944444,0.945778,0.944889,0.949111,0.940667,0.946444,0.944222,0.944889,0.945111,0.944667,0.948222,0.95,0.944,0.943333,0.945333,0.947111,0.946444,0.944889,0.942889,0.946889,0.946667
ECGFiveDays,0.997677,0.994193,0.995354,0.998839,0.98374,1.0,0.960511,0.979094,0.995354,0.97561,0.997677,0.99187,0.990708,0.982578,0.974448,0.979094,0.896632,0.977933,0.966318,0.988386,0.963995,0.998839,0.97561,0.995354,0.989547,0.997677,0.996516,0.987224,0.972125,0.933798
EOGHorizontalSignal,0.671271,0.834254,0.837017,0.839779,0.853591,0.861878,0.812155,0.820442,0.842541,0.848066,0.850829,0.872928,0.848066,0.837017,0.831492,0.870166,0.828729,0.867403,0.850829,0.850829,0.825967,0.861878,0.842541,0.848066,0.834254,0.820442,0.842541,0.864641,0.837017,0.81768
EOGVerticalSignal,0.524862,0.814917,0.798343,0.809392,0.79558,0.787293,0.776243,0.78453,0.79558,0.756906,0.792818,0.798343,0.790055,0.842541,0.79558,0.809392,0.790055,0.834254,0.809392,0.751381,0.787293,0.850829,0.790055,0.756906,0.798343,0.823204,0.801105,0.79558,0.765193,0.80663
Earthquakes,0.748201,0.769784,0.748201,0.769784,0.76259,0.741007,0.733813,0.76259,0.769784,0.726619,0.733813,0.755396,0.748201,0.733813,0.741007,0.748201,0.733813,0.755396,0.748201,0.755396,0.769784,0.76259,0.748201,0.769784,0.755396,0.769784,0.755396,0.755396,0.755396,0.748201
ElectricDeviceDetection,0.869161,0.896497,0.911093,0.910828,0.901539,0.894108,0.908174,0.903662,0.90207,0.910297,0.904989,0.901539,0.899682,0.904459,0.890924,0.899416,0.899682,0.901805,0.897824,0.905786,0.904724,0.906316,0.910032,0.909501,0.899682,0.901539,0.902335,0.904193,0.895701,0.910297
ElectricDevices,0.742705,0.880431,0.879134,0.886137,0.878874,0.881857,0.88082,0.880171,0.876929,0.879912,0.883673,0.881727,0.880949,0.88471,0.881857,0.885099,0.886785,0.881338,0.881987,0.883673,0.876021,0.881857,0.881598,0.881598,0.88484,0.881079,0.877448,0.884191,0.886396,0.885229
EthanolLevel,0.694,0.846,0.856,0.816,0.846,0.844,0.826,0.844,0.836,0.814,0.828,0.82,0.84,0.822,0.824,0.832,0.84,0.822,0.812,0.824,0.794,0.822,0.828,0.872,0.832,0.838,0.832,0.828,0.83,0.838
FaceAll,0.764497,0.964497,0.964497,0.965089,0.96213,0.962722,0.959172,0.954438,0.963314,0.960355,0.962722,0.968639,0.960355,0.959763,0.960355,0.955621,0.947337,0.956213,0.960355,0.960355,0.951479,0.961538,0.954438,0.957988,0.966272,0.957988,0.961538,0.949704,0.962722,0.951479
FaceFour,0.965909,0.954545,0.75,0.840909,0.909091,0.886364,0.875,0.954545,0.886364,0.886364,0.965909,0.920455,0.931818,0.886364,0.965909,0.977273,0.875,0.897727,0.863636,0.943182,0.875,0.886364,0.931818,0.931818,0.931818,0.965909,0.943182,0.886364,0.931818,0.852273
FacesUCR,0.894634,0.903415,0.877561,0.912683,0.906829,0.902439,0.890244,0.90439,0.913659,0.89122,0.897561,0.89561,0.861951,0.900488,0.898049,0.907805,0.906341,0.890732,0.903902,0.897073,0.909268,0.89561,0.906829,0.921463,0.910732,0.880488,0.915122,0.91122,0.898049,0.871707
FiftyWords,0.786813,0.764835,0.773626,0.778022,0.791209,0.782418,0.753846,0.769231,0.76044,0.778022,0.749451,0.8,0.771429,0.784615,0.789011,0.784615,0.775824,0.78022,0.78022,0.771429,0.789011,0.753846,0.773626,0.797802,0.775824,0.773626,0.78022,0.775824,0.764835,0.782418
Fish,0.971429,0.948571,0.96,0.965714,0.925714,0.942857,0.937143,0.908571,0.931429,0.954286,0.925714,0.925714,0.914286,0.942857,0.948571,0.96,0.948571,0.948571,0.937143,0.937143,0.942857,0.937143,0.954286,0.965714,0.908571,0.948571,0.96,0.92,0.954286,0.931429
FloodModeling1Discrete,1.0,0.961783,0.949045,0.957537,0.961783,0.96603,0.957537,0.961783,0.961783,0.978769,0.96603,0.961783,0.987261,0.970276,0.96603,0.96603,0.974522,0.953291,0.957537,0.961783,0.96603,0.949045,0.957537,0.974522,0.961783,0.974522,0.953291,0.961783,0.96603,0.970276
FloodModeling2Discrete,1.0,0.978541,1.0,0.987124,0.978541,0.974249,1.0,0.995708,0.991416,0.987124,0.982833,0.987124,0.978541,0.991416,0.991416,0.991416,0.987124,0.987124,0.995708,0.969957,0.978541,0.987124,0.991416,0.978541,0.995708,0.991416,0.987124,0.991416,0.982833,0.978541
FloodModeling3Discrete,1.0,0.981352,0.962704,0.948718,0.958042,0.958042,0.958042,0.967366,0.972028,0.944056,0.967366,0.97669,0.958042,0.962704,0.95338,0.944056,0.972028,0.948718,0.990676,0.967366,0.944056,0.967366,0.972028,0.967366,0.986014,0.958042,0.95338,0.981352,0.972028,0.944056
FordA,0.971212,0.962121,0.969697,0.974242,0.970455,0.967424,0.960606,0.968939,0.968939,0.974242,0.969697,0.962121,0.959848,0.966667,0.973485,0.969697,0.964394,0.965909,0.972727,0.983333,0.973485,0.972727,0.975758,0.973485,0.963636,0.966667,0.971212,0.968939,0.960606,0.968182
FordB,0.801235,0.914815,0.920988,0.92716,0.92963,0.918519,0.909877,0.932099,0.906173,0.919753,0.919753,0.92716,0.911111,0.898765,0.933333,0.92716,0.917284,0.911111,0.933333,0.92716,0.907407,0.91358,0.922222,0.928395,0.933333,0.917284,0.917284,0.916049,0.930864,0.907407
FreezerRegularTrain,0.999649,0.999649,0.998947,0.999649,0.999649,0.999298,0.999649,0.999298,0.999649,0.999649,0.999649,0.999298,0.998596,0.999298,0.999649,0.998947,0.999649,0.999649,0.999649,0.999649,0.999298,0.999298,0.999649,0.999649,0.999649,0.999649,0.998947,0.999649,0.999649,0.999649
FreezerSmallTrain,0.998596,0.998596,0.998246,0.998947,0.999298,0.999298,0.999298,0.999649,0.998947,0.998596,0.999298,0.998596,0.998596,0.998246,0.999298,0.999298,0.995439,0.998947,0.998947,0.997895,0.997895,0.998947,0.999649,0.999649,0.998947,0.999298,0.999298,0.998246,0.999298,0.985614
GestureMidAirD1Eq,0.730769,0.707692,0.7,0.707692,0.761538,0.669231,0.707692,0.723077,0.653846,0.730769,0.7,0.730769,0.692308,0.746154,0.676923,0.723077,0.723077,0.707692,0.730769,0.723077,0.730769,0.669231,0.730769,0.723077,0.646154,0.715385,0.653846,0.746154,0.707692,0.7
GestureMidAirD2Eq,0.7,0.592308,0.607692,0.6,0.646154,0.546154,0.607692,0.507692,0.576923,0.607692,0.607692,0.6,0.692308,0.607692,0.553846,0.553846,0.569231,0.646154,0.607692,0.576923,0.646154,0.6,0.623077,0.592308,0.607692,0.6,0.623077,0.592308,0.676923,0.592308
GestureMidAirD3Eq,0.515385,0.507692,0.515385,0.469231,0.430769,0.430769,0.5,0.453846,0.446154,0.438462,0.415385,0.484615,0.453846,0.469231,0.461538,0.507692,0.384615,0.461538,0.453846,0.476923,0.415385,0.476923,0.430769,0.484615,0.446154,0.423077,0.453846,0.523077,0.453846,0.4
GesturePebbleZ1Eq,0.883721,0.936047,0.947674,0.953488,0.936047,0.94186,0.959302,0.953488,0.959302,0.953488,0.94186,0.936047,0.94186,0.918605,0.94186,0.94186,0.94186,0.97093,0.982558,0.94186,0.94186,0.965116,0.965116,0.930233,0.953488,0.936047,0.918605,0.912791,0.953488,0.936047
GesturePebbleZ2Eq,0.867089,0.962025,0.968354,0.974684,0.955696,0.943038,0.93038,0.955696,0.905063,0.936709,0.943038,0.943038,0.949367,0.962025,0.955696,0.955696,0.955696,0.936709,0.936709,0.974684,0.968354,0.943038,0.962025,0.993671,0.955696,0.949367,0.949367,0.974684,0.955696,0.968354
GunPoint,0.986667,1.0,0.993333,0.993333,1.0,0.98,0.993333,1.0,1.0,0.993333,0.993333,1.0,0.986667,1.0,0.993333,1.0,0.986667,1.0,1.0,0.986667,0.993333,1.0,1.0,0.993333,0.993333,0.993333,0.993333,0.986667,0.986667,0.986667
GunPointAgeSpan,0.996835,0.977848,1.0,0.990506,0.996835,0.977848,0.977848,0.996835,0.996835,1.0,1.0,0.996835,0.993671,0.996835,1.0,0.981013,1.0,0.993671,0.984177,0.977848,0.993671,0.984177,1.0,0.993671,0.987342,0.996835,1.0,0.996835,0.996835,0.990506
GunPointMaleVersusFemale,1.0,0.993671,1.0,0.996835,0.996835,0.996835,0.996835,1.0,1.0,1.0,0.996835,0.996835,1.0,1.0,1.0,0.996835,1.0,0.996835,1.0,1.0,1.0,0.996835,0.996835,1.0,1.0,0.996835,0.996835,1.0,1.0,1.0
